,Ligands,Specificity
1,Bmp4,Fibroblast
2,Tgfb1,NS
3,Lgals3,BS
4,Bmp7,HF/HFSC
5,Icam1,Endothelial
6,Il1b,NS
7,Bmp2,Fibroblast
8,Il1a,Macrophage
9,Il2,T cell
10,Tnf,Macrophage
11,Cck,NS
12,Tgfb3,Fibroblast
13,Agt,Fibroblast
14,Celsr1,Keratinocyte
15,Wnt10a,Keratinocyte
16,Cxcl5,Fibroblast
17,Gpha2,NS
18,Calm1,NS
19,Vegfb,Skeletal muscle
20,Mmp9,Langerhans
21,Fat1,Fibroblast
22,Calm2,NS
23,Tnfsf12,Fibroblast
24,Efna5,NS
25,Sema3f,NS
26,Angptl1,Fibroblast
27,Cd320,Langerhans
28,Cadm3,Fibroblast
29,Sema4d,Macrophage
30,Ptprf,NS
31,Jam3,Fibroblast
32,Col4a1,NS
33,Cxcl16,Langerhans
34,Selplg,NS
35,Dsc3,Keratinocyte
36,Plxnb2,NS
37,Xcl1,T cell
38,Efna3,Keratinocyte
39,Itgb2,NS
40,Itga4,NS
41,Gmfb,NS
42,Cdh3,Keratinocyte
43,Wnt3,Keratinocyte
44,C3,Fibroblast
45,Ccl19,Fibroblast
46,Efnb2,HF/HFSC
47,Jam2,Endothelial
48,Efna1,Langerhans
49,Pvr,Langerhans
50,Agrn,NS
51,Fgf1,Fibroblast
52,Adam12,Fibroblast
53,Hspg2,NS
54,Hebp1,Fibroblast
55,Efna4,HF/HFSC
56,Pgf,Langerhans
57,Serping1,Fibroblast
58,Rps19,NS
59,Ncam1,Fibroblast
60,Ccl22,DC
61,Tnfsf9,DC
62,Cxcl1,Fibroblast
63,Nov,Fibroblast
64,Cxcl2,Macrophage
65,F11r,Endothelial
66,Fbn1,Fibroblast
67,Cdh1,NS
68,Efnb1,HF/HFSC
69,Nucb2,Fibroblast
70,Col5a3,Fibroblast
71,Adam17,Macrophage
72,Copa,Fibroblast
73,Col1a1,NS
74,Vcam1,Endothelial
75,Sell,NS
76,Wnt9a,Langerhans
77,Vtn,Fibroblast
78,Sema3a,Fibroblast
79,Vegfc,Fibroblast
80,Arf1,NS
81,Ptn,HF/HFSC
82,Nenf,NS
83,Itgam,Macrophage
84,Col18a1,Fibroblast
85,Sema3e,HF/HFSC
86,Thbs1,Macrophage
87,Penk,Fibroblast
88,Dsg2,Keratinocyte
89,Wnt4,Keratinocyte
90,Pkd1,Fibroblast
91,Itgb1,Fibroblast
92,Fgf13,Skeletal muscle
93,Rtn4,NS
94,Pf4,Macrophage
95,Ccl7,Fibroblast
96,L1cam,Keratinocyte
97,Pcdh7,Langerhans
98,Psen1,Keratinocyte
99,Areg,T cell
100,Clstn1,HF/HFSC
101,Pcdh1,NS
102,Trf,Macrophage
103,Pros1,Fibroblast
104,Bmp5,Fibroblast
105,Spn,T cell
106,Gpi1,NS
107,Adam9,Fibroblast
108,Sema7a,Langerhans
109,Osm,Macrophage
110,Fbrs,NS
111,Tnc,Fibroblast
112,Sema3b,Fibroblast
113,Robo2,NS
114,H2-T23,NS
115,Cxcl10,Macrophage
116,Yars,Fibroblast
117,Nid1,Fibroblast
118,Dkk2,NS
119,Lamb1,NS
120,Rspo1,Fibroblast
121,Il33,Keratinocyte
122,Esam,Endothelial
123,Aimp1,NS
124,Ntn1,Fibroblast
125,Clec11a,Fibroblast
126,Adam23,DC
127,Ccl5,T cell
128,Jag2,Keratinocyte
129,Cdh2,Fibroblast
130,Celsr2,NS
131,Hsp90b1,NS
132,Grem1,HF/HFSC
133,Anxa1,NS
134,Wnt7b,Keratinocyte
135,Manf,NS
136,Wnt11,DC
137,Adam15,Endothelial
138,Inhba,Macrophage
139,Serpine1,NS
140,Il1rn,Macrophage
141,Ocln,Langerhans
142,Wnt5a,Fibroblast
143,Rspo3,Keratinocyte
144,Fn1,Fibroblast
145,Adm,NS
146,Ltb,T cell
147,Fgf7,Fibroblast
148,Cyr61,NS
149,Lamc2,Keratinocyte
150,Cxcl12,NS
151,Grn,Macrophage
152,Ngf,Fibroblast
153,Lamb2,Fibroblast
154,Flrt2,Fibroblast
155,Ctgf,HF/HFSC
156,Ccl8,Macrophage
157,Apoe,NS
158,Cadm1,HF/HFSC
159,Ptprc,T cell
160,Dll1,NS
161,Angpt2,Fibroblast
162,Tnfsf14,NS
163,Gzmb,T cell
164,Ccl12,Macrophage
165,Nampt,NS
166,Wisp2,Fibroblast
167,Cd40lg,T cell
168,Dlk1,Fibroblast
169,Vegfa,"Macrophage, Langerhans"
170,App,NS
171,Tnfsf4,DC
172,Spp1,Macrophage
173,Kitl,NS
174,Ptdss1,Endothelial
175,Flrt3,Langerhans
176,Ifng,T cell
177,Thbs2,Fibroblast
178,Sema3c,NS
179,Hdgf,NS
180,Mdk,Fibroblast
181,a,NS
182,Hmgb1,NS
183,Il15,Macrophage
184,Clcf1,NS
185,Plau,Macrophage
186,Slit2,Fibroblast
187,Lama2,Fibroblast
188,Jag1,Fibroblast
189,Il6,Fibroblast
190,Crlf1,Keratinocyte
191,Ctf1,Keratinocyte
192,Cd24a,Langerhans
193,Sema6d,NS
194,Hmgb2,NS
195,Calr,NS
196,Ebi3,DC
197,Mif,NS
198,Tgfb2,Fibroblast
199,Itgal,T cell
200,Tslp,Fibroblast
201,Il10,Macrophage
202,Igf1,Fibroblast
