,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
15207,Rpl41,3.1678533413487416e-13,2.2610691052572023e-09,1.368670127374966,24.387667924822168,False,False
25092,Rps28,3.394234189382575e-13,2.2610691052572023e-09,1.4000125980386182,8.25110066724769,False,False
22406,Rps29,7.251989082914463e-13,3.220608351722313e-09,1.2371133124451579,19.26431991140223,False,False
12965,Mfge8,7.418366784166832e-12,2.4708725166363675e-08,1.8148042358009462,32.34802864931754,False,False
15210,Rps26,7.099492947350685e-11,1.5832288722005603e-07,1.2030593634106688,7.224665716356118,False,False
22932,Rpl37,7.130055718084036e-11,1.5832288722005603e-07,0.9442287949448708,15.960354590731045,False,False
5766,Rps27,1.7960342132450227e-10,3.4183662604376337e-07,0.8330031465437278,16.54185754717184,False,False
6291,1810037I17Rik,3.7627666795444244e-10,6.266417558946295e-07,1.160913843630455,3.8458133909670797,False,False
3154,Serf2,5.652975191020097e-10,8.368287607773417e-07,0.9218709944823209,8.017618857816453,False,False
7823,Sh3bgrl3,1.8445827099428978e-09,2.423957200973569e-06,0.8699796514937382,12.154186853753313,False,False
2254,Rpl35,2.0013157104788156e-09,2.423957200973569e-06,1.0717790204705933,8.281937615986962,False,False
3933,Atp5e,3.5903368718224796e-09,3.986171511940908e-06,1.184432576517589,2.964756147451863,False,False
19596,Atox1,4.959737139481248e-09,4.949791515730706e-06,1.0844411495551152,3.7973549607566803,False,False
18970,Rps27rt,5.201312108401252e-09,4.949791515730706e-06,1.0288452273064415,2.6079282650338396,False,False
6349,Rpl34,5.6177025355300035e-09,4.989643392057749e-06,0.7525840381009002,11.903085687612123,False,False
19203,Sec61g,7.555872490131954e-09,6.291680574126752e-06,1.3056832598859742,3.612333310333118,False,False
24150,Rpl35a,8.987308450668256e-09,7.04340649930901e-06,0.741333706038705,20.607932641117586,False,False
10130,Shfm1,9.622091107501053e-09,7.121951101402029e-06,0.9407709985569626,3.444932097380382,False,False
499,Rpl37a,1.122830801994346e-08,7.873407776300354e-06,0.8413099856517505,19.32599855834692,False,False
9982,Arpc1b,1.2089344347101643e-08,8.05331673682176e-06,0.8370132675195092,7.854621981734222,False,False
27804,Usmg5,1.3370300183581049e-08,8.482500445040491e-06,1.3664376332801738,2.3348007911102364,False,False
4313,Rpl39,1.8841065761319027e-08,1.140997814263879e-05,0.8794283580998302,12.903084448255632,False,False
7548,Ybx1,2.2361001598914903e-08,1.2952853230536663e-05,1.0166778599666797,5.572684236560099,False,False
20400,Gngt2,2.543987614065586e-08,1.4122311242581585e-05,0.9626785162051119,2.493390923554677,False,False
11302,Gapdh,3.246546397848187e-08,1.730149506341256e-05,1.300516774051455,6.334798477819838,False,False
6394,Ube2d3,3.3951044193646765e-08,1.739729853045984e-05,0.7313057369834111,4.383257112839148,False,False
25005,Pim1,6.827660661036421e-08,3.3690712217403046e-05,1.2986571550309902,3.92951374011943,False,False
6935,Nr4a3,8.276487249716669e-08,3.938129986713399e-05,1.7461286581287023,1.4273123310526037,False,False
17757,Ubl5,9.741383552545108e-08,4.468412212609759e-05,0.8838666600680752,3.0969150943378,False,False
23444,Smdt1,1.0646937570607707e-07,4.468412212609759e-05,0.8955222847971711,2.383258706672601,False,False
16497,Aprt,1.0760010621590065e-07,4.468412212609759e-05,1.590507788434014,0.9074885895073677,False,False
7008,Txn1,1.10419094655583e-07,4.468412212609759e-05,1.5989241240156167,3.070483731278239,False,False
21745,Uqcrb,1.1067897847040611e-07,4.468412212609759e-05,0.7986282859744379,3.035240811923527,False,False
19937,Pfn1,1.148204211001511e-07,4.499271971521509e-05,0.8421051900515163,11.418505842990287,False,False
21876,Cox7c,1.2073027331257708e-07,4.595684089552755e-05,0.907232416922071,4.140966606560258,False,False
12132,Plaur,1.3029945596923384e-07,4.822165699661395e-05,4.557042282258443,1.444933833398483,False,False
9931,Actb,1.4861701148158633e-07,5.3514174161329045e-05,1.2701047853422194,23.54625521672455,False,False
23351,Lgals1,1.6406112248518494e-07,5.752069302289787e-05,0.9689146165273741,12.022030141385118,False,False
18314,Pkm,1.8290598613933532e-07,6.248349880344525e-05,1.0079304545861467,3.9427296674199046,False,False
23227,Ly6e,2.0216884943835842e-07,6.701261602826166e-05,1.5383959390650728,1.2026426939187072,False,False
3931,Ctsz,2.0622361759053728e-07,6.701261602826166e-05,1.0468999668902021,3.563875322299907,False,False
26943,Csf1r,2.1319792412726666e-07,6.762942721779937e-05,1.000086882158763,3.5374436872121,False,False
9044,Cxcl2,2.2727399518822148e-07,7.041794041610871e-05,4.542519855385422,19.008811135649157,False,False
227,Rpl31,2.8989596947317935e-07,8.777918184752655e-05,0.8725437278116792,7.2422876337026185,False,False
13614,Rps15a,3.1693361040345205e-07,9.383347758678205e-05,0.7635580211532443,13.528636928171839,False,False
4881,Rpl36a,3.2671244343679537e-07,9.46258670414875e-05,1.0141412188110732,6.30396126860564,False,False
18270,Cox5a,4.1689178937342305e-07,0.00011817551723025777,1.1235423895717773,2.0792940828768693,False,False
20189,Ccl2,5.647177332082781e-07,0.0001567444658236227,5.32336952138324,0.696034980757318,False,False
25555,Rpl36,6.095660292360309e-07,0.00016255339104605387,0.8945269050619816,8.550658496991128,False,False
8451,Tomm7,6.100480036255118e-07,0.00016255339104605387,0.9816773732409326,2.092510015954005,False,False
10064,Alox5ap,6.312477531213704e-07,0.00016490419244776506,0.7411788151018308,5.999996416369199,False,False
24222,Cox17,6.625246961698317e-07,0.00016974647167443592,1.368115524748306,0.9295150088843795,False,False
12744,Ldha,7.042946271715551e-07,0.00017704372297748354,1.3245881728156546,2.3568273362609258,False,False
18104,Atp5l,8.10488910466908e-07,0.00019996562507686324,0.7086875362262401,6.118939103534044,False,False
18594,Bcl2a1b,8.63289561874245e-07,0.00020610601912387317,1.9065296854464895,3.2555058270298964,False,False
19126,Uqcr10,8.663166757439689e-07,0.00020610601912387317,1.1452607826267458,1.5903077571927715,False,False
10239,Hilpda,9.20992265309423e-07,0.00021526982369679727,2.082977024418276,2.8942727853548162,False,False
26722,Ndufa2,9.655264547199176e-07,0.00022178808545230108,0.8056037334319575,2.348016513076648,False,False
11060,Bhlhe40,1.082170240553024e-06,0.00024240628255080076,2.9368207955473653,0.8414094897093752,False,False
6510,Gng5,1.0916743190758871e-06,0.00024240628255080076,0.6460133360717032,4.422905001871387,False,False
3592,Eif2s2,1.324273883421835e-06,0.0002892344417840838,1.1308364582524122,2.1806159103494385,False,False
22865,2010107E04Rik,1.445486288151993e-06,0.00031061635188788715,1.2711659445638177,1.4317174577502954,False,False
15939,Tpm4,1.5369626539902902e-06,0.0003250310069700418,1.5469805264554697,1.1497792178838788,False,False
9567,Arpc3,1.6387824715842835e-06,0.00034114841982683453,0.6457936958257573,5.581494459496721,False,False
24213,Ndufb4,1.7069892621552043e-06,0.000349880275995289,1.2879451556123338,0.9383255847225105,False,False
3995,Psma7,1.754604334898128e-06,0.00035419081142193577,0.8395314693023781,2.114536636201296,False,False
21839,Ell2,1.9137738976276246e-06,0.00038055536773272896,2.4439596664663723,0.2555065234130175,False,False
19922,Cxcl16,2.142921808377607e-06,0.0004198551066619832,1.025421786283074,5.052860767305685,False,False
4214,Cfp,2.6093372706849422e-06,0.0004996855027157444,2.037967382621112,0.6343610501368141,False,False
7790,Fgr,2.6286422660232514e-06,0.0004996855027157444,3.8959485827657714,0.13215856693504535,False,False
22998,Basp1,2.6628890409680896e-06,0.0004996855027157444,1073.2469143791136,0.3920703863782505,False,False
22524,Erh,3.1104570617099196e-06,0.0005755641587939063,1.5822874875708894,1.0837000572996518,False,False
21921,Tbca,3.18859223636365e-06,0.000581939922809218,0.7423927718374427,2.607928380567072,False,False
27346,Fth1,3.4963234198200416e-06,0.0006294799584089515,0.901536339547201,54.299564899326946,False,False
10806,Mthfd2,3.7932445807720416e-06,0.0006738319673283455,1.985499608609788,0.5374446789598675,False,False
4304,Slc25a5,3.932971719122871e-06,0.0006874228634848687,0.8460773778433734,5.414093894580388,False,False
25123,Psmb8,3.972946069829234e-06,0.0006874228634848687,1.213284880777207,2.1629946357878294,False,False
22408,Rpl36al,4.395006881210333e-06,0.000750700983055965,0.8146591818034603,3.84140798173812,False,False
27242,Fau,4.908257598279984e-06,0.0008277558985048636,0.4910145795820997,21.356829504609635,False,False
23040,Cox6c,5.04936206804459e-06,0.0008409081354069759,0.9630879919021297,3.656386001519695,False,False
15844,Ndufa13,5.481670580928504e-06,0.0009016332981445736,0.9208726575372949,1.920704141062262,False,False
13450,Mrpl17,5.684893742487243e-06,0.0009234829656347309,1.1563616330745246,0.8942727690751333,False,False
1787,Atp5c1,5.753140144688334e-06,0.0009234829656347309,0.7697704804471358,2.665197054194984,False,False
25093,Ndufa7,5.844420545204077e-06,0.0009269668443304038,0.9876934821955974,1.5638760144489976,False,False
20113,Traf4,5.922163342615559e-06,0.000928246849572554,1.2201700908320476,1.268721910825385,False,False
18166,Rpl10-ps3,6.231121718861547e-06,0.0009653166820975858,-0.6745636585397741,3.14977800898615,False,False
1827,Arl5b,6.679085921137398e-06,0.0010102023069227118,2.335647933296186,0.28634352135238145,False,False
5131,Tmsb4x,6.7413818165478224e-06,0.0010102023069227118,0.6366568812307012,83.53743212863738,False,False
13589,Psma1,6.74833035473402e-06,0.0010102023069227118,0.9702800475035638,1.2731273179537401,False,False
14076,Tssc4,6.832325252435973e-06,0.0010114118815356054,1071.0191089745638,0.08370044932491454,False,False
13752,Aldoa,7.1765240396079675e-06,0.001050690437139527,0.6942236872777298,6.017617637365401,False,False
18404,Lactb,7.971509228047086e-06,0.0011543958417964276,1.3705424240753776,0.7180614299448577,False,False
27293,Cox8a,8.384044821813178e-06,0.0012010820339894298,0.7076525983288557,4.56827915082419,False,False
21052,Anapc11,8.555604898904551e-06,0.0012126204688096313,1.3148071599721702,0.6696032418290949,False,False
18811,Gnai2,8.779013142880668e-06,0.001227350406097822,0.627438497931399,7.524226459637613,False,False
6599,Rps20,8.917843409026808e-06,0.001227350406097822,0.7892348056602205,10.233476922375516,False,False
17485,Tpt1,8.935899526494688e-06,0.001227350406097822,0.6757955421980254,14.074890716485516,False,False
23982,Ranbp1,9.157357919049075e-06,0.0012449334648519472,1.380002483903533,1.5242284615134354,False,False
22961,Il7r,9.272141915881924e-06,0.001247805522679746,1.396267474002885,1.2687220394873935,False,False
11221,M6pr,9.43394163409327e-06,0.001255532603981359,0.9904383280870125,1.1585898890369264,False,False
8332,Sri,9.518035953022387e-06,0.001255532603981359,1.1014697827117466,1.1409687171423488,False,False
19291,Smek2,9.936329049783383e-06,0.0012978599208849414,2.3598954527859672,0.24229067698580578,False,False
1368,Rgs5,1.1115106501915395e-05,0.0014239108296738303,1071.0931094796338,0.08810573146731844,False,False
12738,Saa3,1.1115118688439417e-05,0.0014239108296738303,1071.0931094796338,0.08810573146731844,False,False
18591,Bcl2a1a,1.1494646565465981e-05,0.0014585064399209836,4.180925680867946,0.4801761596607217,False,False
14725,Atp5d,1.1884282638783138e-05,0.0014937197886462994,0.753715718590082,2.5859019583017293,False,False
7778,Atpif1,1.2401338774436101e-05,0.0015441405279608615,0.752564698606229,3.6784123775717448,False,False
19886,Tmem256,1.2898385171329509e-05,0.0015756755361925423,1.015940448030672,1.4361227918826538,False,False
17168,Mrpl52,1.2985793508151031e-05,0.0015756755361925423,1.0673107073573354,1.6343606075001182,False,False
27353,Tmem258,1.3009405462822162e-05,0.0015756755361925423,0.9360872745449295,1.3744488216706836,False,False
23644,Tuba1c,1.3263205401552815e-05,0.0015919431131971905,1.06631139655854,1.4096910816982455,False,False
20059,Pitpna,1.3751654281172873e-05,0.0016358329463220195,1.0169051986881759,1.5022021201213551,False,False
18088,Rps25,1.4713206885031878e-05,0.0017204979984039618,0.6650192741098879,10.140967703075662,False,False
16455,Cox4i1,1.4721667178417146e-05,0.0017204979984039618,0.6267209569773196,6.7092475113889725,False,False
10863,Snrpg,1.5220515711614402e-05,0.0017633298332681625,1.027474341401213,1.5110126056335047,False,False
7821,Cd52,1.560170574288709e-05,0.0017919097035559027,0.5680754919321443,9.334800102637203,False,False
27512,Anxa1,1.6169827242677226e-05,0.0018097750455097427,0.7806511840462714,5.30396217921757,False,False
14030,Rplp2,1.6224141856917962e-05,0.0018097750455097427,0.6480519747031,14.568283123066772,False,False
22590,Npc2,1.6262582740300558e-05,0.0018097750455097427,0.9492626009589749,2.2863425704351084,False,False
22354,Baz1a,1.6300608381083023e-05,0.0018097750455097427,1.301001513927546,0.6387663004419353,False,False
5793,S100a8,1.7083158800425747e-05,0.001879686094582306,1072.4436066666506,0.22466960588740884,False,False
5933,Ctss,1.7212467427684555e-05,0.001879686094582306,0.5408583787704936,7.330393154715652,False,False
174,Neurl3,1.7487292194207442e-05,0.001894172308157933,1.4439595447804852,0.5550658714666241,False,False
24995,Cdkn1a,1.832563980400306e-05,0.0019689717670059097,0.8300724784071714,10.951544398253185,False,False
7483,Rps8,1.9555449862257978e-05,0.0020842980681189042,0.7172336130554183,13.977974139646287,False,False
19927,Psmb6,1.9965754338144882e-05,0.0021111408337071767,0.8837955951475138,1.4977966305442845,False,False
27835,Dusp5,2.1756386820272394e-05,0.002279702174300751,1.8555906273024576,0.7092509039960768,False,False
1222,Gm2000,2.1902115012421836e-05,0.002279702174300751,1.0247912837643285,1.2026426172466531,False,False
7893,C1qa,2.3624613611651856e-05,0.0024399281174266488,1.6787828914068108,1.2114533095370306,False,False
27210,Cfl1,2.5570104805316275e-05,0.002620542356317144,0.6932139992907618,7.933917898438576,False,False
3756,Sys1,2.6041758579147435e-05,0.002648506485114361,1.4886284380261925,0.42731259179010267,False,False
11131,Rpl32,2.6881539041022785e-05,0.0027132026109359586,0.6171571525237786,19.061677697471584,False,False
5530,Ptx3,2.7227817075104433e-05,0.002727490277380574,1071.0931094796338,0.08810573146731844,False,False
19679,Nlrp3,2.8167839279678544e-05,0.0028005979307698303,3.8061519838252056,0.49779729274335416,False,False
20362,Lrrc59,2.9934371901129855e-05,0.0029242282919350027,1.359895228491926,0.5550659267387726,False,False
