ligand,receptor,weight,ligand_type,target_type
Cd24a,Selp,0.704164133,Langerhans,Endothelial
Cd320,Tgfbr2,0.179929659,Langerhans,Endothelial
Cxcl16,Ackr3,0.228546832,Langerhans,Endothelial
Cxcl16,Aplnr,0.212136711,Langerhans,Endothelial
Cxcl16,Gabbr1,0.101181692,Langerhans,Endothelial
Cxcl16,S1pr1,0.126382617,Langerhans,Endothelial
Efna1,Ephb4,0.208873823,Langerhans,Endothelial
Flrt3,Fgfr1,0.02459276,Langerhans,Endothelial
Mmp9,Itga5,0.277536429,Langerhans,Endothelial
Mmp9,Itgb1,0.40168194,Langerhans,Endothelial
Ocln,Tgfbr2,0.204812661,Langerhans,Endothelial
Pcdh7,Ephb4,0.202058236,Langerhans,Endothelial
Pcdh7,Fzd6,0.180698631,Langerhans,Endothelial
Pcdh7,Insr,0.178316279,Langerhans,Endothelial
Pcdh7,Lifr,0.222100358,Langerhans,Endothelial
Pcdh7,Lrp10,0.317742648,Langerhans,Endothelial
Pcdh7,Lrp6,0.201589095,Langerhans,Endothelial
Pcdh7,Ptk7,0.219768559,Langerhans,Endothelial
Pcdh7,Ryk,0.433876025,Langerhans,Endothelial
Pcdh7,Sec63,0.160410267,Langerhans,Endothelial
Pcdh7,Xpr1,0.21477491,Langerhans,Endothelial
Pgf,Flt1,0.51390087,Langerhans,Endothelial
Pgf,Kdr,0.419424242,Langerhans,Endothelial
Pgf,Nrp1,0.481748385,Langerhans,Endothelial
Pgf,Nrp2,0.841828002,Langerhans,Endothelial
Pvr,Tnfrsf12a,0.371187599,Langerhans,Endothelial
Sema7a,Itgb1,0.206282774,Langerhans,Endothelial
Vegfa (L),Flt1,0.965131027,Langerhans,Endothelial
Vegfa (L),Flt4,0.722498165,Langerhans,Endothelial
Vegfa (L),Itgav,0.12274863,Langerhans,Endothelial
Vegfa (L),Itgb3,0.11557887,Langerhans,Endothelial
Vegfa (L),Kdr,0.871129536,Langerhans,Endothelial
Vegfa (L),Nrp1,0.579111625,Langerhans,Endothelial
Vegfa (L),Nrp2,0.994003408,Langerhans,Endothelial
Vegfa (L),Ptprb,0.329855787,Langerhans,Endothelial
Wnt9a,Lrp5,0.256134801,Langerhans,Endothelial
Wnt9a,Lrp6,0.401017792,Langerhans,Endothelial
Wnt9a,Ptk7,0.128147316,Langerhans,Endothelial
Adam17,Ghr,0.470600039,Macrophage,Endothelial
Adam17,Il1r2,0.473418683,Macrophage,Endothelial
Adam17,Itga5,0.027783178,Macrophage,Endothelial
Adam17,Itgb1,0.215323106,Macrophage,Endothelial
Adam17,Notch1,0.481738341,Macrophage,Endothelial
Adam17,Tnfrsf1a,0.316229025,Macrophage,Endothelial
Adam17,Tnfrsf1b,0.36931914,Macrophage,Endothelial
Ccl12,Ackr1,1.272544049,Macrophage,Endothelial
Ccl8,Ackr1,0.59411031,Macrophage,Endothelial
Cxcl10,Ackr3,0.228546832,Macrophage,Endothelial
Cxcl10,Aplnr,0.212136711,Macrophage,Endothelial
Cxcl10,Gabbr1,0.101181692,Macrophage,Endothelial
Cxcl10,S1pr1,0.126382617,Macrophage,Endothelial
Cxcl2,Ackr3,0.228546832,Macrophage,Endothelial
